fg_pct_home,fg3_pct_home,ft_pct_home,oreb_home,dreb_home,ast_home,stl_home,blk_home,tov_home,pf_home
0.36,0.219,0.65,18.0,34.0,18.0,5.0,6.0,14.0,24.0
0.459,0.29,0.704,14.0,44.0,34.0,9.0,3.0,12.0,19.0
0.5,0.333,0.811,8.0,27.0,24.0,11.0,5.0,12.0,29.0
0.506,0.348,0.727,15.0,37.0,23.0,8.0,2.0,16.0,21.0
0.344,0.303,0.778,19.0,41.0,18.0,9.0,3.0,13.0,20.0
0.547,0.321,0.64,10.0,32.0,31.0,12.0,8.0,14.0,17.0
0.395,0.438,0.786,9.0,31.0,21.0,3.0,4.0,10.0,16.0
0.494,0.344,0.842,7.0,35.0,29.0,7.0,4.0,12.0,11.0
0.429,0.4,0.619,10.0,33.0,25.0,3.0,2.0,15.0,20.0
0.378,0.194,0.632,7.0,49.0,12.0,3.0,8.0,11.0,12.0
0.381,0.188,0.765,18.0,32.0,17.0,11.0,6.0,14.0,28.0
0.38,0.067,1.0,10.0,22.0,8.0,5.0,2.0,20.0,25.0
0.494,0.333,0.696,12.0,40.0,20.0,3.0,3.0,17.0,21.0
0.37,0.222,0.733,20.0,46.0,25.0,9.0,7.0,22.0,21.0
0.366,0.333,0.727,17.0,29.0,26.0,15.0,7.0,12.0,16.0
0.493,0.333,0.656,9.0,35.0,26.0,5.0,6.0,14.0,23.0
0.4,0.294,0.8,9.0,35.0,18.0,4.0,0.0,11.0,19.0
0.49,0.3,0.621,12.0,35.0,29.0,10.0,6.0,14.0,21.0
0.446,0.263,0.81,9.0,37.0,21.0,9.0,6.0,11.0,20.0
0.45,0.063,0.706,14.0,28.0,20.0,4.0,5.0,15.0,17.0
0.413,0.353,0.842,8.0,32.0,20.0,5.0,5.0,17.0,23.0
0.402,0.421,0.7,19.0,26.0,16.0,4.0,5.0,9.0,18.0
0.376,0.36,0.783,11.0,30.0,21.0,6.0,4.0,15.0,17.0
0.395,0.258,0.848,12.0,27.0,23.0,6.0,3.0,10.0,24.0
0.43,0.367,0.739,12.0,27.0,20.0,7.0,5.0,18.0,23.0
0.494,0.286,0.846,9.0,32.0,21.0,6.0,3.0,12.0,24.0
0.418,0.28,0.655,11.0,34.0,27.0,12.0,3.0,15.0,23.0
0.483,0.429,0.632,9.0,27.0,25.0,12.0,7.0,16.0,20.0
0.392,0.364,0.789,13.0,42.0,20.0,5.0,7.0,15.0,15.0
0.551,0.333,0.733,12.0,34.0,26.0,10.0,3.0,19.0,22.0
0.418,0.267,0.571,10.0,35.0,20.0,7.0,5.0,16.0,20.0
0.519,0.593,0.625,4.0,38.0,28.0,2.0,5.0,12.0,23.0
0.447,0.333,0.895,9.0,37.0,26.0,8.0,7.0,10.0,17.0
0.524,0.484,0.75,10.0,26.0,25.0,8.0,5.0,12.0,25.0
0.398,0.273,0.824,8.0,43.0,22.0,4.0,3.0,11.0,21.0
0.395,0.412,0.75,10.0,32.0,22.0,7.0,6.0,18.0,24.0
0.434,0.222,0.788,9.0,30.0,18.0,11.0,3.0,15.0,18.0
0.369,0.31,0.778,11.0,34.0,19.0,10.0,2.0,15.0,18.0
0.369,0.143,0.71,14.0,32.0,17.0,6.0,6.0,13.0,20.0
0.469,0.486,0.818,13.0,26.0,26.0,5.0,4.0,6.0,25.0
0.341,0.179,0.737,11.0,31.0,18.0,6.0,0.0,6.0,20.0
0.443,0.409,0.609,10.0,26.0,26.0,6.0,3.0,9.0,15.0
0.513,0.346,0.692,9.0,40.0,23.0,11.0,5.0,21.0,20.0
0.543,0.182,0.76,9.0,38.0,29.0,11.0,5.0,17.0,16.0
0.42,0.333,0.778,12.0,34.0,26.0,5.0,8.0,9.0,17.0
0.433,0.333,0.88,21.0,34.0,14.0,8.0,8.0,12.0,21.0
0.5,0.364,0.88,9.0,45.0,30.0,10.0,4.0,16.0,19.0
0.483,0.37,0.692,16.0,33.0,26.0,8.0,8.0,21.0,27.0
0.434,0.238,0.741,11.0,40.0,20.0,13.0,8.0,8.0,10.0
0.44,0.211,0.682,10.0,35.0,24.0,6.0,1.0,15.0,22.0
0.524,0.444,0.705,8.0,27.0,22.0,4.0,8.0,7.0,17.0
0.519,0.4,0.833,7.0,33.0,25.0,8.0,6.0,11.0,19.0
0.44,0.366,0.808,15.0,27.0,18.0,9.0,3.0,12.0,19.0
0.512,0.269,0.773,16.0,26.0,23.0,5.0,3.0,14.0,23.0
