"chain:1.alpha","chain:2.alpha","chain:3.alpha","chain:4.alpha","chain:1.beta[1]","chain:2.beta[1]","chain:3.beta[1]","chain:4.beta[1]","chain:1.beta[2]","chain:2.beta[2]","chain:3.beta[2]","chain:4.beta[2]","chain:1.beta[3]","chain:2.beta[3]","chain:3.beta[3]","chain:4.beta[3]","chain:1.beta[4]","chain:2.beta[4]","chain:3.beta[4]","chain:4.beta[4]","chain:1.beta[5]","chain:2.beta[5]","chain:3.beta[5]","chain:4.beta[5]","chain:1.beta[6]","chain:2.beta[6]","chain:3.beta[6]","chain:4.beta[6]","chain:1.beta[7]","chain:2.beta[7]","chain:3.beta[7]","chain:4.beta[7]","chain:1.beta[8]","chain:2.beta[8]","chain:3.beta[8]","chain:4.beta[8]","chain:1.beta[9]","chain:2.beta[9]","chain:3.beta[9]","chain:4.beta[9]","chain:1.beta[10]","chain:2.beta[10]","chain:3.beta[10]","chain:4.beta[10]","chain:1.sigma","chain:2.sigma","chain:3.sigma","chain:4.sigma"
0.0634672499124406,0.0642699182733836,0.063066237513659,0.0606546999435996,0.227714563802664,0.210267208436474,0.213758397688955,0.197726612372914,0.260190120432163,0.257505691755919,0.262919743103527,0.249926635166098,0.215143732483181,0.208638580914481,0.213842734653198,0.210296775067869,-0.304741916590817,-0.273563336012372,-0.272413522701543,-0.238254270227777,1.53532604297273,1.52662132452538,1.52801896118916,1.52110062199358,0.487664822560044,0.479718004771728,0.490162262966879,0.495206791567931,0.154210903934628,0.178898683369112,0.177538167777673,0.153229789802006,0.150482323076969,0.173309650508614,0.14357658279779,0.158165210132288,-1.15394490149355,-1.16071194826899,-1.15295374652145,-1.19195194522774,-0.0495391150705032,-0.0440316831631387,-0.051551663349915,-0.0279384793353142,6.24165425271325,6.17001144949713,6.17757131966544,6.13545870380947
0.147047857522504,0.0492487739647675,0.0928123907067434,0.100207550706038,0.22105388736462,0.206351718886858,0.208301894967594,0.190371821084165,0.258609188630686,0.255611233482989,0.254868181560984,0.25214495309579,0.22510730550947,0.198856014932906,0.212773873356053,0.209467601003455,-0.292311122083061,-0.279986082229175,-0.269264254880474,-0.251023500952406,1.51376580393234,1.52722140665674,1.52324638136965,1.52742971199518,0.494150874401697,0.479871088449512,0.486733878693877,0.491671681933338,0.155388258962967,0.180406956223149,0.131582197848979,0.157607851588736,0.146748678788863,0.17307086372685,0.156721473735864,0.159998899984719,-1.15170659513288,-1.16821452567752,-1.1778061008104,-1.16767537903709,-0.0239409402859696,-0.0516572289499365,-0.0421285359945798,-0.0314658063415731,6.11935993965482,6.15159571042595,6.17544289389563,6.1539446498022
0.0958231137430303,0.124691970342752,0.0910582339209045,0.08977658671533,0.217740962398823,0.196905087146725,0.188217021493101,0.212976687004765,0.255616304753481,0.259163398087386,0.268036087727771,0.261433932942152,0.217182174548618,0.203430077233566,0.197676356869491,0.195138435816441,-0.268457726258769,-0.25929292006349,-0.25238726886577,-0.261950083777359,1.52682941762721,1.52406207760105,1.53063000963939,1.52775068375713,0.493757031158078,0.493865557765525,0.48883154516905,0.485512390473433,0.14566338939258,0.131783360091482,0.192648095241531,0.150413379445833,0.165732476797441,0.114872935667339,0.132114452396807,0.147906859303847,-1.16345000387243,-1.18246808940906,-1.16781208657199,-1.17061611933808,-0.0247813833492591,-0.0443922912283294,-0.0501700529734084,-0.0670791381853857,6.19422107256824,6.20899826797122,6.16629972846586,6.19487414742171
0.0930769808683619,0.110452184733766,0.0897819451976088,0.0856205844785215,0.208707632120915,0.197448105848005,0.179672321063456,0.224063989514213,0.259860710055092,0.26613158576093,0.265653054540297,0.261688638004229,0.191609523250018,0.205227022164381,0.180435372005172,0.216154709868446,-0.274059130350083,-0.270029574683784,-0.245690398490675,-0.28440608866575,1.53833334201783,1.52248764614606,1.53634513297624,1.5329758937415,0.482537182088142,0.497026396176812,0.480703875653387,0.480596081392125,0.177231158860059,0.147489859955019,0.167689952716297,0.164725883306315,0.14640915294953,0.119990800663667,0.12850356874468,0.151123871532107,-1.15754495088276,-1.17045509995372,-1.1825577215438,-1.14401875533307,-0.0731112941303228,-0.046627716478042,-0.0558736723253889,-0.0338690100965017,6.20281489102702,6.20062356133934,6.18590642905154,6.16912960318474
0.0194449350989287,0.112495614527839,0.112147329320818,0.0513755233496719,0.206206574293178,0.18364448720279,0.1694872676532,0.223976155997197,0.268783987431838,0.260785856570209,0.257781214478453,0.260542448697866,0.206964654212728,0.193302662073635,0.177839946159524,0.205948385035131,-0.271985988189136,-0.242839930713267,-0.23177987008069,-0.286734156932308,1.54284037654607,1.53072090025745,1.53019158030319,1.52578273310999,0.479100235350105,0.485705118079655,0.481417673881868,0.493286913540918,0.151297333024569,0.176286956676709,0.178397234207221,0.169548098978442,0.128975914428058,0.139392983959021,0.146485087860318,0.156422600444481,-1.19519692331261,-1.18953199039833,-1.18723758812074,-1.13644587180774,-0.0669136417880859,-0.0542335833445662,-0.0553773283657941,-0.0610952163736124,6.17508050935691,6.17685793824864,6.181183220518,6.1893295456403
0.206747084131748,0.0906520144931051,0.0977097062547326,0.131386037697234,0.202978172377647,0.224724336735762,0.182583935859159,0.19661481172525,0.253623216015874,0.259142325620961,0.259770691013333,0.261029426985283,0.202291378384379,0.210805833334117,0.193849639565669,0.199691278760434,-0.261854747843274,-0.290347975033202,-0.241328682752382,-0.258076819714943,1.52739946634571,1.53737401921101,1.52430297283086,1.52898048334979,0.494351445181954,0.476993112598946,0.489495515925716,0.498780700924008,0.171003680509745,0.14714061581295,0.148377981029931,0.171116198660864,0.163015392509387,0.152857446457085,0.137263598589485,0.135002054945724,-1.17357534267497,-1.1639563465895,-1.19396787172155,-1.16508734661476,-0.0421600123448849,-0.051374011068725,-0.0553677679436468,-0.0374570655298531,6.17815949570701,6.17732885182961,6.15973759705522,6.16788038887622
0.0381816069156688,0.0726302480375502,0.0812782854382064,0.089990808155017,0.203438759119346,0.215493941440252,0.226557597450366,0.186605820612668,0.26589064251335,0.263866642965584,0.258103693114789,0.253990082834753,0.197095295020489,0.210090453594336,0.209045889616447,0.188973179384117,-0.266032316050655,-0.283375138146598,-0.296912256329855,-0.253073592168884,1.53972857863776,1.53722730953219,1.53042987369042,1.52194247327521,0.50134918763073,0.481336812044057,0.483411197522351,0.481659509367622,0.159494810951574,0.162095722658797,0.169485882743477,0.141437938666537,0.135107128351412,0.155926454448693,0.148510480142456,0.157335324602932,-1.17102470069915,-1.15963102147323,-1.14665637349149,-1.18795609331863,-0.0563529525301208,-0.0429516975143226,-0.0536721501598041,-0.0498127492041105,6.18105364222431,6.1948793681098,6.20057023557665,6.25498657370966
0.097323252022739,0.0799758328616259,0.113231659981595,0.132615298768096,0.20603005011007,0.214158030733712,0.232996759949118,0.194137708530987,0.247838526045338,0.264017260887013,0.257643136568047,0.263915237915453,0.19234678364757,0.217088245298357,0.205600517951052,0.204754992936322,-0.271406040328217,-0.282562134792682,-0.285915546768006,-0.256933701339703,1.51726299208892,1.54028882610026,1.5378619798137,1.52448792063762,0.47945616419635,0.483785272178187,0.485125810959305,0.485406686523694,0.18937572493154,0.164285973983893,0.161017663177323,0.153108129321167,0.154726076063957,0.141916959244902,0.157993154618146,0.134459150402165,-1.1534823140538,-1.16258539940933,-1.14420582425444,-1.18000283017741,-0.0595634316456755,-0.0285036794303366,-0.0643062115093228,-0.0474794056548544,6.13864618779999,6.18243341151465,6.15951937894063,6.18070026530175
0.139426771801666,0.128791831899173,0.0338310691546434,0.0520937226307976,0.225327444809296,0.207406022396572,0.215944387011417,0.193276716758375,0.261495836789326,0.262372741672109,0.259640840688897,0.254642192310833,0.208485163063845,0.202497197915467,0.206376899021482,0.193484963090074,-0.282416047914794,-0.276665458010152,-0.291094896809302,-0.247129754212732,1.53979020691438,1.53343531846395,1.52382020265301,1.53276849454358,0.487286446619098,0.487811849327485,0.495127331726182,0.490592474106576,0.158513766074523,0.15928087513229,0.171722111486696,0.144686543922337,0.166455800670002,0.145894103050934,0.156021095609938,0.152044941347605,-1.15578487863015,-1.17134258354545,-1.15488388139313,-1.20608021180643,-0.0440453492338489,-0.0527496524929398,-0.0568172881275061,-0.0519967836551596,6.19117835805014,6.17890735214265,6.23427643188866,6.17509669351534
0.0907177109170446,0.113144680604618,0.0749451329528728,0.090862035823107,0.200799791655845,0.201543935272031,0.2256432241536,0.183264547441996,0.263464959006949,0.258130823903973,0.255499338757071,0.262369002866408,0.204077503263464,0.191409744794023,0.203964158190026,0.197212377950232,-0.273911031128686,-0.272656380037957,-0.278708697429079,-0.241120462643591,1.53066176266955,1.52887971345905,1.53138195870681,1.52813924698819,0.493315975036807,0.484589676503351,0.48961899260161,0.477535999882019,0.151582544083738,0.155013222380776,0.168946598072162,0.161878028098165,0.129739068328788,0.13706640380025,0.15484570121412,0.144835522976236,-1.18216249829103,-1.1709322282746,-1.13490648279146,-1.1918989893871,-0.0538398348383759,-0.0668145931789559,-0.0665085089264333,-0.0328962066270259,6.16922175883458,6.17495669937084,6.13023669607016,6.21458019080824
