team_id,game_id,is_home,plus_minus
1610612737,0024900003,True,8
1610612737,0024900018,True,-4
1610612737,0024900043,True,10
1610612737,0024900073,True,-3
1610612737,0024900090,True,8
1610612737,0024900108,True,16
1610612737,0024900119,True,-7
1610612737,0024900131,True,5
1610612737,0024900148,True,-8
1610612737,0024900167,True,32
1610612737,0024900175,True,5
1610612737,0024900195,True,-9
1610612737,0024900201,True,-12
1610612737,0024900221,True,-2
1610612737,0024900250,True,13
1610612737,0024900268,True,12
1610612737,0024900284,True,7
1610612737,0024900299,True,4
1610612737,0024900313,True,-5
1610612737,0024900328,True,14
1610612737,0024900345,True,-3
1610612737,0024900353,True,16
1610612737,0024900366,True,6
1610612737,0024900368,True,8
1610612737,0024900388,True,15
1610612737,0024900398,True,5
1610612737,0024900415,True,-6
1610612737,0024900455,True,-9
1610612737,0024900461,True,9
1610612737,0024900469,True,8
1610612737,0024900479,True,35
1610612737,0024900484,True,17
1610612737,0024900503,True,11
1610612737,0024900515,True,-15
1610612737,0024900529,True,18
1610612737,0024900553,True,-1
1610612737,0044900242,True,1
1610612737,0025000008,True,14
1610612737,0025000011,True,11
1610612737,0025000014,True,3
1610612737,0025000029,True,3
1610612737,0025000041,True,4
1610612737,0025000051,True,23
1610612737,0025000058,True,11
1610612737,0025000069,True,14
1610612737,0025000079,True,-8
1610612737,0025000089,True,-8
1610612737,0025000099,True,-1
1610612737,0025000104,True,-9
1610612737,0025000125,True,-15
1610612737,0025000134,True,3
1610612737,0025000144,True,15
1610612737,0025000152,True,17
1610612737,0025000158,True,10
1610612737,0025000161,True,17
1610612737,0025000167,True,-2
1610612737,0025000179,True,4
1610612737,0025000186,True,-1
1610612737,0025000189,True,-4
1610612737,0025000209,True,6
1610612737,0025000227,True,-10
1610612737,0025000240,True,7
1610612737,0025000250,True,3
1610612737,0025000269,True,4
1610612737,0025000273,True,7
1610612737,0025000285,True,6
1610612737,0025000305,True,-4
1610612737,0025000311,True,15
1610612737,0025000316,True,-11
1610612737,0025000323,True,15
1610612737,0025000324,True,2
1610612737,0025000343,True,-1
1610612737,0025000349,True,-1
1610612737,0025100013,True,-2
1610612737,0025100019,True,3
1610612737,0025100032,True,-16
1610612737,0025100059,True,-13
1610612737,0025100061,True,2
1610612737,0025100079,True,-9
1610612737,0025100086,True,3
1610612737,0025100090,True,11
1610612737,0025100096,True,-2
1610612737,0025100115,True,-26
1610612737,0025100132,True,2
1610612737,0025100136,True,-7
1610612737,0025100148,True,-3
1610612737,0025100161,True,-7
1610612737,0025100169,True,-12
1610612737,0025100179,True,13
1610612737,0025100180,True,6
1610612737,0025100183,True,11
1610612737,0025100194,True,-11
1610612737,0025100206,True,-1
1610612737,0025100225,True,10
1610612737,0025100240,True,7
1610612737,0025100246,True,1
1610612737,0025100259,True,2
1610612737,0025100298,True,-11
1610612737,0025100310,True,1
1610612737,0025100311,True,4
1610612737,0025200011,True,2
1610612737,0025200022,True,3
1610612737,0025200035,True,3
1610612737,0025200059,True,-16
1610612737,0025200064,True,-8
1610612737,0025200071,True,1
1610612737,0025200077,True,-3
1610612737,0025200086,True,17
1610612737,0025200097,True,12
1610612737,0025200115,True,-5
1610612737,0025200125,True,11
1610612737,0025200154,True,-2
1610612737,0025200167,True,2
1610612737,0025200182,True,4
1610612737,0025200189,True,-7
1610612737,0025200190,True,-10
1610612737,0025200204,True,2
1610612737,0025200207,True,2
1610612737,0025200210,True,8
1610612737,0025200221,True,3
1610612737,0025200225,True,16
1610612737,0025200248,True,3
1610612737,0025200258,True,7
1610612737,0025200271,True,-9
1610612737,0025200286,True,1
1610612737,0025200290,True,7
1610612737,0025200291,True,14
1610612737,0025200306,True,14
1610612737,0025200313,True,5
1610612737,0025200333,True,1
1610612737,0025200353,True,26
1610612737,0025200354,True,-5
1610612737,0025300002,True,10
1610612737,0025300013,True,-12
1610612737,0025300023,True,-15
1610612737,0025300027,True,-8
1610612737,0025300044,True,-18
1610612737,0025300056,True,6
1610612737,0025300062,True,4
1610612737,0025300066,True,3
1610612737,0025300072,True,-7
1610612737,0025300090,True,12
1610612737,0025300108,True,-6
1610612737,0025300121,True,7
1610612737,0025300136,True,10
1610612737,0025300156,True,-11
1610612737,0025300178,True,-3
1610612737,0025300189,True,2
1610612737,0025300192,True,-15
1610612737,0025300200,True,12
1610612737,0025300212,True,6
1610612737,0025300217,True,3
1610612737,0025300233,True,-1
1610612737,0025300239,True,9
1610612737,0025300251,True,-4
1610612737,0025300256,True,-5
1610612737,0025300270,True,2
