,NAME,TEAM,POS,AGE,GP,MPG,MP%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,Year
34,Aron Baynes,Det,C,30,75,15.5,32.3,14.1,0.135,94,0.84,279,0.513,0,0,0.57,4.9,4.4,15.6,0.4,3.9,0.23,0.52,5.3,2016
35,Arron Afflalo,Sac,SG,31,61,25.9,54,14.4,0.084,93,0.892,269,0.457,151,0.411,0.559,8.4,2,4.6,1.3,7.4,0.34,0.11,4.3,2016
36,Austin Rivers,Lac,SG,24,74,27.8,57.8,20.3,0.124,191,0.691,432,0.491,299,0.371,0.545,12,2.2,4.4,2.8,15,0.65,0.14,6,2016
37,Avery Bradley,Bos,SG,26,55,33.4,69.5,21.9,0.097,93,0.731,498,0.504,277,0.39,0.548,16.3,6.1,10.1,2.2,11,1.24,0.2,7.2,2016
38,Ben McLemore,Sac,SG,23,61,19.3,40.2,20.1,0.12,93,0.753,249,0.462,170,0.382,0.538,8.1,2.1,6.3,0.8,6.9,0.48,0.1,4.9,2016
39,Beno Udrih,Det,PG,34,39,14.4,29.9,19.6,0.145,34,0.941,165,0.491,32,0.344,0.535,5.8,1.5,5.6,3.4,35.4,0.33,0,8.6,2016
40,Bismack Biyombo,Orl,C,24,81,22.1,46.1,13.2,0.177,234,0.534,339,0.528,0,0,0.546,6,7,17.2,0.9,6,0.31,1.12,6.1,2016
41,Blake Griffin,Lac,PF,27,61,34,70.9,28,0.109,421,0.76,858,0.514,113,0.336,0.569,21.6,8.1,13.4,4.9,24.5,0.93,0.38,11.2,2016
42,Boban Marjanovic,Det,C,28,35,8.4,17.5,25.3,0.06,58,0.81,132,0.545,0,0,0.606,5.5,3.7,24.2,0.3,5.3,0.17,0.34,8.7,2016
43,Bobby Portis,Chi,PF,21,64,15.6,32.6,19.1,0.084,59,0.661,279,0.541,96,0.333,0.545,6.8,4.6,16,0.5,5.7,0.25,0.17,6.4,2016
44,Bojan Bogdanovic,Bro,SF,27,55,27,56.1,22.5,0.12,167,0.874,334,0.509,277,0.357,0.572,14.2,3.6,7,1.6,10.1,0.44,0.05,6.4,2016
45,Bojan Bogdanovic,Was,SF,27,26,23.1,48.1,22.2,0.124,76,0.934,119,0.521,115,0.391,0.617,12.7,3.1,7.5,0.8,5.2,0.38,0.15,5.5,2016
46,Boris Diaw,Uta,PF,34,73,17.6,36.6,15.6,0.203,35,0.743,246,0.512,81,0.247,0.494,4.6,2.2,7.1,2.3,20.3,0.25,0.12,6.5,2016
47,Bradley Beal,Was,SG,23,77,34.9,72.6,26.5,0.095,342,0.825,770,0.538,552,0.404,0.604,23.1,3.1,5,3.5,16.2,1.09,0.27,7.2,2016
48,Brandan Wright,Mem,PF,29,28,16,33.3,16.3,0.062,35,0.657,134,0.619,1,0,0.628,6.8,2.8,10,0.5,6,0.39,0.71,5.3,2016
49,Brandon Bass,Lac,PF,31,52,11.1,23.1,19.7,0.114,88,0.875,183,0.579,3,0.333,0.65,5.6,2.5,12.5,0.4,5.7,0.27,0.21,6.4,2016
50,Brandon Ingram,Lal,SF,19,79,28.9,60.1,16.8,0.129,214,0.621,499,0.443,187,0.294,0.474,9.4,4,7.6,2.1,10.4,0.62,0.46,5.9,2016
51,Brandon Jennings,Nyk,PG,27,58,24.6,51.3,18.1,0.178,135,0.756,229,0.415,200,0.34,0.508,8.6,2.6,5.7,4.9,28.6,0.95,0.07,7.8,2016
