,NAME,TEAM,POS,AGE,GP,MPG,MP%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,Year
1031,Dennis Smith Jr.,Dal,PG,20,69,29.7,61.9,28.9,0.149,193,0.694,685,0.435,339,0.313,0.473,15.2,3.8,7,5.2,29.5,1.03,0.26,9,2017
1032,Denzel Valentine,Chi,SG,24,77,27.2,56.7,17.5,0.118,51,0.745,351,0.45,370,0.386,0.527,10.2,5.1,10.1,3.2,17.8,0.84,0.14,8.1,2017
1033,Derrick Favors,Uta,PF,26,77,28,58.3,18.5,0.099,215,0.651,639,0.596,63,0.222,0.593,12.3,7.2,14.6,1.3,7.8,0.7,1.06,6.9,2017
1034,Derrick Jones Jr.,Pho,SF,20,6,5.5,11.5,9.8,0.131,6,0.833,2,1,2,0,0.678,1.5,0.7,6.5,0.5,12.3,0.17,0.67,5.9,2017
1035,Derrick Jones Jr.,Mia,SF,20,14,15.2,31.6,13.3,0.095,18,0.611,33,0.485,16,0.188,0.457,3.7,2.4,9,0.4,4,0.21,0.64,4,2017
1036,Derrick Rose,Cle,PG,29,16,19.2,40.1,25.6,0.157,41,0.854,108,0.481,24,0.25,0.523,9.8,1.8,5.3,1.6,13,0.19,0.25,6.3,2017
1037,Derrick Rose,Min,PG,29,9,12.4,25.8,25,0.111,5,1,48,0.458,6,0.167,0.463,5.8,0.7,3.1,1.2,15.3,0.44,0,5.5,2017
1038,Derrick Walton Jr.,Mia,PG,22,16,9.2,19.2,9,0.067,6,1,8,0.125,17,0.412,0.525,1.8,1,6.1,1,14.6,0.44,0.19,5.3,2017
1039,Derrick White,San,PG,23,17,8.2,17,15.4,0.126,20,0.7,20,0.4,13,0.615,0.646,3.2,1.5,10.4,0.5,9.3,0.24,0.18,6.5,2017
1040,Derrick Williams,Lal,SF,26,2,4.3,8.9,20,0,0,0,2,0.5,2,0,0.25,1,0.5,6.3,0,0,0,0,0,2017
1041,Devin Booker,Pho,SG,21,54,34.5,72,31.7,0.139,328,0.878,670,0.46,384,0.383,0.561,24.9,4.5,7,4.7,24.4,0.87,0.26,9.4,2017
1042,Devin Harris,Dal,PG,34,44,18.3,38.2,21.6,0.128,112,0.83,159,0.465,125,0.352,0.56,8.5,1.9,5.9,1.9,16.4,0.75,0.18,6.8,2017
1043,Devin Harris,Den,PG,34,27,19.7,41.1,18.2,0.121,58,0.845,68,0.5,102,0.343,0.568,8.2,1.6,4.4,2.5,17.7,0.56,0.15,6.5,2017
1044,Devin Robinson,Was,SF,22,1,13.2,27.5,10,0,0,0,3,0.333,0,0,0.333,2,5,21.4,0,0,1,0,0,2017
1045,Dewayne Dedmon,Atl,C,28,62,24.9,51.8,17,0.143,86,0.779,336,0.595,141,0.355,0.599,10,7.9,17.7,1.5,9.2,0.65,0.82,7.9,2017
1046,Deyonta Davis,Mem,C,21,62,15.2,31.7,15.3,0.097,57,0.667,265,0.608,0,0,0.621,5.8,4,15.3,0.6,7.1,0.24,0.63,6.3,2017
1047,Dillon Brooks,Mem,SF,22,82,28.7,59.7,18.5,0.128,166,0.747,508,0.484,264,0.356,0.531,11,3.1,6.3,1.6,9.3,0.89,0.21,5.3,2017
1048,Dion Waiters,Mia,SG,26,30,30.6,63.7,25,0.137,69,0.739,240,0.463,170,0.306,0.487,14.3,2.6,4.7,3.8,19.8,0.77,0.3,6.8,2017
1049,Dirk Nowitzki,Dal,PF,39,77,24.7,51.4,20.5,0.06,108,0.898,421,0.494,337,0.409,0.575,12,5.7,12.8,1.6,10.4,0.56,0.58,7.7,2017
1050,Domantas Sabonis,Ind,PF,21,74,24.5,51,22.1,0.153,224,0.75,624,0.524,37,0.351,0.567,11.6,7.7,17.8,2,12.7,0.54,0.43,9.2,2017
1051,Donovan Mitchell,Uta,SG,21,79,33.4,69.6,29.1,0.126,297,0.805,812,0.502,550,0.34,0.541,20.5,3.7,6.4,3.7,19.4,1.49,0.34,7.8,2017
1052,Dorian Finney-Smith,Dal,PF,24,21,21.3,44.5,15.1,0.141,15,0.733,54,0.481,67,0.299,0.482,5.9,3.6,9.3,1.2,8.4,0.48,0.19,5.5,2017
1053,Doug McDermott,Nyk,SF,26,55,21.3,44.4,14.4,0.088,53,0.755,191,0.513,137,0.387,0.562,7.2,2.4,6.3,0.9,6,0.18,0.22,4.7,2017
1054,Doug McDermott,Dal,SF,26,26,22.9,47.8,16.3,0.103,28,0.857,101,0.465,79,0.494,0.611,9,2.5,6.1,1.1,7.5,0.35,0.15,5.1,2017
1055,Dragan Bender,Pho,PF,20,82,25.2,52.6,12.7,0.181,51,0.765,162,0.426,322,0.366,0.524,6.5,4.4,9.3,1.6,8.9,0.27,0.65,5.7,2017
1056,Draymond Green,Gol,PF,27,70,32.7,68.1,17.2,0.225,173,0.775,363,0.562,256,0.301,0.556,11,7.6,13.1,7.3,29,1.34,1.3,10.4,2017
1057,Dwayne Bacon,Cha,SG,22,53,13.5,28,13.7,0.102,25,0.8,149,0.409,43,0.256,0.431,3.3,2.3,9.4,0.7,7.5,0.3,0.04,5.2,2017
1058,Dwight Buycks,Det,PG,28,29,14.7,30.7,26.4,0.153,41,0.878,153,0.438,45,0.333,0.498,7.4,1.4,5.3,2,22.3,0.66,0.07,7.5,2017
1059,Dwight Howard,Cha,C,32,81,30.4,63.4,24.2,0.151,582,0.574,904,0.559,7,0.143,0.577,16.6,12.5,22.2,1.3,7.1,0.59,1.62,8.5,2017
1060,Dwight Powell,Dal,C,26,79,21.2,44.1,15.5,0.103,185,0.719,346,0.656,84,0.333,0.656,8.5,5.6,14.7,1.2,8.5,0.85,0.41,7.3,2017
1061,Dwyane Wade,Cle,SG,36,46,23.2,48.4,24.3,0.157,134,0.701,365,0.479,70,0.329,0.519,11.2,3.9,9.5,3.5,23.3,0.91,0.7,9.2,2017
1062,Dwyane Wade,Mia,SG,36,21,22.3,46.4,30.6,0.15,55,0.745,206,0.447,41,0.22,0.465,12,3.4,8.5,3.1,23.9,0.9,0.71,9,2017
1063,Ed Davis,Por,PF,28,78,18.9,39.3,12.2,0.162,111,0.667,291,0.584,1,0,0.607,5.3,7.4,21.3,0.5,3.9,0.41,0.67,5.7,2017
1064,Edmond Sumner,Ind,PG,22,1,2.2,4.6,20.3,0,0,0,1,1,0,0,1,2,1,25.7,0,0,0,0,0,2017
1065,Ekpe Udoh,Uta,PF,30,63,12.9,26.8,9.1,0.121,56,0.75,119,0.504,1,0,0.56,2.6,2.4,10.5,0.8,9.1,0.68,1.17,5.3,2017
1066,Elfrid Payton,Orl,PG,23,44,28.6,59.5,21.8,0.183,114,0.632,391,0.545,67,0.373,0.564,13,4,7.6,6.3,35.4,1.45,0.36,9.6,2017
1067,Elfrid Payton,Pho,PG,23,19,29,60.4,22.1,0.188,54,0.685,184,0.467,25,0.2,0.481,11.8,5.3,9.7,6.2,33.7,1,0.32,10.1,2017
1068,Emeka Okafor,Nor,C,35,26,13.6,28.3,14.4,0.11,22,0.818,95,0.505,0,0,0.545,4.4,4.6,18.4,0.3,3.1,0.31,0.96,5.4,2017
1069,Emmanuel Mudiay,Den,PG,21,42,17.9,37.3,24.8,0.168,78,0.808,220,0.414,102,0.373,0.504,8.5,2.2,7,2.9,24.1,0.5,0.1,8.5,2017
1070,Emmanuel Mudiay,Nyk,PG,21,22,22.4,46.6,23.7,0.153,51,0.686,158,0.418,46,0.196,0.428,8.8,2.6,6.5,3.9,25.1,0.91,0.32,8,2017
1071,Enes Kanter,Nyk,C,25,71,25.8,53.7,21.9,0.133,184,0.848,711,0.594,2,0,0.63,14.1,11,23.6,1.5,9.4,0.51,0.52,9.5,2017
1072,Eric Bledsoe,Pho,PG,28,3,27.6,57.5,28.8,0.178,14,0.786,27,0.444,13,0.308,0.509,15.7,2.3,4.5,3,17.9,1.33,0.67,6.9,2017
1073,Eric Bledsoe,Mil,PG,28,71,31.5,65.7,26,0.16,304,0.793,602,0.55,347,0.349,0.585,17.8,3.9,7.2,5.1,26,2.04,0.56,9,2017
1074,Eric Gordon,Hou,SG,29,69,31.2,65,24.7,0.109,241,0.809,361,0.546,608,0.359,0.578,18,2.4,4.4,2.2,11.7,0.65,0.38,5.9,2017
1075,Eric Moreland,Det,PF,26,67,12,25,9.7,0.238,29,0.379,122,0.541,0,0,0.531,2.1,4.1,19.1,1.2,13.3,0.46,0.76,7.3,2017
1076,Erik McCree,Uta,SF,24,4,1.9,3.9,18,0.333,0,0,1,0,1,0,0,0,0.3,7.6,0,0,0.25,0,0,2017
1077,Ersan Ilyasova,Atl,PF,30,46,25.6,53.2,18,0.089,90,0.8,231,0.532,170,0.359,0.569,10.9,5.5,11.9,1.1,6.8,0.96,0.37,6.3,2017
1078,Ersan Ilyasova,Phi,PG,30,23,24.1,50.2,20.1,0.111,45,0.733,129,0.488,83,0.361,0.537,10.8,6.7,15,1.7,10.4,0.74,0.43,8.3,2017
1079,E'Twaun Moore,Nor,SG,28,82,31.5,65.7,16.1,0.106,68,0.706,531,0.556,301,0.425,0.593,12.5,2.9,5,2.3,10.1,0.94,0.13,5.5,2017
1080,Evan Fournier,Orl,SG,25,57,32.2,67.1,23.3,0.098,173,0.867,467,0.516,335,0.379,0.577,17.8,3.2,5.4,2.9,14.8,0.82,0.28,6.8,2017
1081,Evan Turner,Por,SG,29,79,25.7,53.6,15.6,0.137,107,0.85,445,0.485,132,0.318,0.52,8.2,3.1,6.5,2.2,12.4,0.59,0.37,6,2017
1082,Frank Kaminsky,Cha,C,24,79,23.2,48.4,20.5,0.076,194,0.799,442,0.459,274,0.38,0.545,11.1,3.6,8.5,1.6,11,0.46,0.25,6.9,2017
1083,Frank Mason,Sac,PG,23,52,18.9,39.4,22.6,0.131,115,0.817,294,0.384,86,0.36,0.48,7.9,2.5,7.5,2.8,22.7,0.65,0.19,8.1,2017
1084,Frank Ntilikina,Nyk,PG,19,78,21.9,45.6,16.9,0.198,68,0.721,343,0.385,157,0.318,0.437,5.9,2.3,5.8,3.2,20,0.85,0.23,6.4,2017
1085,Fred VanVleet,Tor,PG,23,76,20,41.7,19.1,0.112,101,0.832,284,0.437,261,0.414,0.556,8.6,2.4,6.8,3.2,22.8,0.89,0.25,8.1,2017
1086,Furkan Korkmaz,Phi,SG,20,14,5.7,11.9,17,0.063,4,0.5,11,0.273,17,0.294,0.386,1.6,0.8,7.4,0.3,6.7,0.14,0.07,5.1,2017
1087,Garrett Temple,Sac,SG,31,65,24.8,51.8,16.4,0.134,78,0.769,249,0.442,227,0.392,0.536,8.4,2.3,5.4,1.9,11.3,0.88,0.42,5.4,2017
1088,Gary Harris,Den,SG,23,67,34.4,71.7,20.7,0.108,162,0.827,514,0.553,394,0.396,0.597,17.5,2.6,4.3,2.9,13,1.82,0.22,5.9,2017
1089,Gary Payton II,Mil,PG,25,12,8.8,18.4,15.9,0.08,3,0.667,21,0.524,12,0.167,0.437,2.5,1.4,9.4,0.8,12.2,0.25,0.08,6.4,2017
1090,Gary Payton II,Lal,PG,25,11,10.5,21.8,17.5,0.084,6,0.167,28,0.464,13,0.308,0.447,3.5,2.5,12.5,1.1,15.1,0.36,0.18,8.1,2017
1091,George Hill,Sac,PG,31,43,26.6,55.4,16.9,0.14,99,0.778,198,0.48,128,0.453,0.597,10.3,2.7,5.8,2.8,15.5,0.91,0.28,6.4,2017
1092,George Hill,Cle,PG,31,24,27.9,58.1,15.4,0.12,41,0.805,110,0.509,77,0.351,0.551,9.4,2.6,5.3,2.8,14,0.96,0.58,5.9,2017
1093,Georges Niang,Uta,PF,24,9,3.5,7.3,21.1,0.202,2,0.5,7,0.571,4,0,0.379,1,1,16.1,0.3,14.2,0.22,0,7.7,2017
1094,Georgios Papagiannis,Sac,C,20,16,7.4,15.4,18.7,0.163,0,0,41,0.415,0,0,0.415,2.1,2.3,17.4,0.6,11.6,0.13,0.38,7.7,2017
1095,Georgios Papagiannis,Por,C,20,1,3.7,7.7,11.9,0,0,0,1,1,0,0,1,2,1,14.7,0,0,2,0,0,2017
1096,Gerald Green,Hou,SG,32,41,22.7,47.2,22.3,0.066,60,0.85,115,0.504,298,0.369,0.566,12.1,3.2,8,0.6,4.3,0.59,0.37,5,2017
1097,Gian Clavell,Dal,SG,24,7,9.1,18.9,15,0.096,2,1,3,0,15,0.4,0.53,2.9,1,6.1,0.4,6.8,0.29,0,4.6,2017
1098,Giannis Antetokounmpo,Mil,PF,23,75,36.8,76.6,31.2,0.117,641,0.76,1262,0.554,140,0.307,0.598,26.9,10,16,4.8,23.7,1.45,1.41,11.8,2017
1099,Glenn Robinson III,Ind,SG,24,23,14.7,30.6,12.5,0.053,11,0.818,51,0.431,34,0.412,0.529,4.1,1.6,6.2,0.7,6.8,0.57,0.04,4.5,2017
1100,Goran Dragic,Mia,PG,31,75,31.7,66,25.7,0.122,271,0.801,775,0.481,300,0.37,0.543,17.3,4.1,7.2,4.8,25.4,0.84,0.16,8.8,2017
1101,Gordon Hayward,Bos,SF,27,1,5.3,11,16.9,0,0,0,1,1,1,0,0.5,2,1,10.3,0,0,0,0,0,2017
1102,Gorgui Dieng,Min,PF,28,79,16.9,35.1,16.3,0.12,102,0.775,327,0.511,61,0.311,0.543,5.9,4.6,15.6,0.9,7.5,0.57,0.49,6.9,2017
1103,Greg Monroe,Mil,C,27,5,15.9,33.1,23.2,0.147,4,0.5,33,0.485,0,0,0.489,6.8,5,18.4,1,10.2,0,0,8.1,2017
1104,Greg Monroe,Pho,C,27,20,23.3,48.4,19.6,0.186,46,0.674,155,0.626,0,0,0.642,11.3,8,18.4,2.5,18.2,0.8,0.3,10.5,2017
1105,Greg Monroe,Bos,C,27,26,19.1,39.8,25,0.177,69,0.797,198,0.53,0,0,0.58,10.2,6.3,18.2,2.3,20.4,1.08,0.69,11.1,2017
1106,Guerschon Yabusele,Bos,PF,22,33,7.1,14.8,15.7,0.145,22,0.682,24,0.583,37,0.324,0.559,2.4,1.6,12.1,0.5,10,0.12,0.15,7,2017
1107,Harrison Barnes,Dal,SF,25,77,34.2,71.3,25.2,0.081,313,0.827,874,0.478,333,0.357,0.54,18.9,6.1,9.9,2,9.8,0.64,0.18,7.2,2017
1108,Hassan Whiteside,Mia,C,28,54,25.3,52.6,24.7,0.123,182,0.703,576,0.538,2,1,0.573,14,11.4,25.4,1,6.9,0.69,1.74,8.6,2017
1109,Henry Ellenson,Det,PF,21,38,8.7,18,23.8,0.102,29,0.862,86,0.384,60,0.333,0.476,4,2.1,13.6,0.5,9.4,0.13,0,7.4,2017
1110,Ian Clark,Nor,SG,26,74,19.7,40.9,17.2,0.099,59,0.763,300,0.533,195,0.318,0.529,7.4,1.7,4.7,1.5,10.4,0.45,0.14,5.4,2017
1111,Ian Mahinmi,Was,C,31,77,14.9,31,15.6,0.247,128,0.703,246,0.561,2,0,0.601,4.8,4.1,15.4,0.7,6.6,0.49,0.55,6.4,2017
1112,Ike Anigbogu,Ind,C,19,11,2.7,5.6,20.4,0.147,6,0.833,9,0.444,0,0,0.558,1.2,0.8,17,0,0,0.09,0.27,0,2017
1113,Iman Shumpert,Cle,SG,27,14,19.7,41.1,13.1,0.208,15,0.733,32,0.469,26,0.269,0.48,4.4,2.9,8.3,1.2,8.1,0.64,0.29,5,2017
1114,Isaiah Canaan,Hou,SG,26,1,4,8.3,11,0,0,0,1,0,0,0,0,0,1,14.1,0,0,0,0,0,2017
1115,Isaiah Canaan,Pho,SG,26,19,22,45.8,19,0.155,51,0.902,70,0.429,66,0.333,0.543,9.1,2.3,5.6,4,26.9,0.84,0.05,8,2017
1116,Isaiah Hicks,Nyk,PF,23,18,13.3,27.7,17.5,0.167,18,0.667,63,0.492,9,0.222,0.501,4.4,2.3,9.5,0.9,9.5,0.11,0.22,6.3,2017
1117,Isaiah Taylor,Atl,PG,23,67,17.4,36.3,20.1,0.157,141,0.702,310,0.461,80,0.25,0.492,6.6,1.4,4.5,3.1,27,0.51,0.15,7,2017
1118,Isaiah Thomas,Cle,PG,28,15,27.1,56.4,28.9,0.155,68,0.868,107,0.449,87,0.253,0.493,14.7,2.1,4.3,4.5,25.1,0.6,0.13,7.6,2017
1119,Isaiah Thomas,Lal,PG,28,17,26.8,55.9,28.7,0.175,63,0.921,126,0.429,101,0.327,0.52,15.6,2.1,4.2,5,28.8,0.35,0.06,8.2,2017
1120,Isaiah Whitehead,Bro,PG,22,16,11.2,23.4,28.5,0.203,19,0.684,68,0.485,18,0.389,0.53,6.3,1.6,7.7,1.3,19.6,0.5,0.13,8.4,2017
1121,Ish Smith,Det,PG,29,82,24.9,51.9,20.8,0.112,116,0.698,700,0.506,101,0.347,0.525,10.9,2.7,6.1,4.4,28.5,0.78,0.24,8.1,2017
1122,Ivan Rabb,Mem,PF,20,36,14.3,29.8,17.7,0.173,36,0.806,152,0.566,0,0,0.599,5.6,4.4,17.7,0.9,10.4,0.33,0.36,7.9,2017
1123,Ivica Zubac,Lal,C,20,43,9.5,19.9,17.6,0.153,51,0.765,121,0.504,1,0,0.557,3.7,2.8,15.8,0.6,8.8,0.19,0.35,7.7,2017
1124,J.J. Barea,Dal,PG,33,69,23.2,48.4,24.9,0.163,102,0.784,377,0.499,313,0.367,0.545,11.6,2.9,7,6.3,45.1,0.51,0.04,10.3,2017
1125,Jabari Bird,Bos,SG,23,13,8.8,18.3,15.5,0.201,13,0.462,19,0.632,7,0.429,0.615,3,1.5,9.1,0.6,10.6,0.23,0.08,6.3,2017
1126,Jabari Parker,Mil,SF,22,31,24,49.9,24.4,0.112,54,0.741,251,0.514,81,0.383,0.55,12.6,4.8,11.8,1.9,13.1,0.81,0.32,8.1,2017
1127,Jack Cooley,Sac,F,26,7,12.5,26,19.7,0.078,19,0.737,27,0.481,0,0,0.566,5.7,4.3,19.6,0.9,10.5,0.14,0,9,2017
1128,Jacob Pullen,Phi,PG,28,3,2,4.2,21,0.333,0,0,1,1,1,0,0.5,0.7,0,0,0,0,0,0,0,2017
1129,Jacob Wiley,Bro,SF,23,5,6.7,13.9,6.3,0,2,0.5,2,0,2,0.5,0.41,0.8,2.2,17.5,0.4,7.9,0.2,0,5.3,2017
1130,Jae Crowder,Cle,SF,27,53,25.4,52.9,15.1,0.092,92,0.848,187,0.508,189,0.328,0.545,8.6,3.3,7.2,1.1,6,0.77,0.23,5,2017
1131,Jae Crowder,Uta,PG,27,27,27.6,57.4,21.3,0.091,56,0.768,143,0.462,152,0.316,0.499,11.8,3.8,7.8,1.5,8.6,0.85,0.33,5.9,2017
1132,Jahlil Okafor,Phi,C,22,2,12.7,26.4,23.2,0.218,4,0.5,9,0.444,0,0,0.465,5,4.5,19.1,0.5,5.7,0,1,7.1,2017
1133,Jahlil Okafor,Bro,C,22,26,12.6,26.2,20.9,0.114,25,0.76,125,0.576,4,0.25,0.593,6.4,2.9,12.3,0.4,5.9,0.12,0.62,6.2,2017
1134,JaKarr Sampson,Sac,SF,24,22,15.6,32.6,12.5,0.083,16,0.625,71,0.549,10,0.5,0.585,4.7,3.5,12.9,0.4,3.9,0.36,1,4.8,2017
1135,Jake Layman,Por,SF,23,34,4.7,9.8,14.6,0.094,3,0.667,27,0.37,20,0.2,0.352,1,0.5,5.4,0.3,9.4,0.18,0.12,4.5,2017
1136,Jakob Poeltl,Tor,C,22,82,18.6,38.7,14.8,0.166,101,0.594,382,0.66,2,0.5,0.662,6.9,4.8,14.4,0.7,5.4,0.48,1.22,6.1,2017
1137,Jalen Jones,Nor,SF,24,4,4.8,10.1,10.9,0,2,1,3,0,1,1,0.512,1.3,0.8,8.4,0,0,0,0,0,2017
1138,Jalen Jones,Dal,SF,24,12,13.5,28.1,22,0.102,17,0.588,38,0.421,25,0.36,0.49,5.8,2.9,12,0.3,3.9,0.42,0.08,5.1,2017
1139,Jamal Crawford,Min,SG,37,80,20.7,43.1,23.7,0.107,113,0.903,428,0.477,314,0.331,0.519,10.3,1.2,3.5,2.3,16.9,0.5,0.11,5.9,2017
1140,Jamal Murray,Den,SG,20,81,31.7,66,22.8,0.127,253,0.905,626,0.502,436,0.378,0.576,16.7,3.7,6.5,3.4,16.4,0.98,0.35,7.5,2017
1141,Jameel Warney,Dal,PF,24,3,8.9,18.6,25.8,0.066,5,0.6,12,0.583,0,0,0.599,5.7,3,18.6,0,0,0,0,0,2017
1142,Jameer Nelson,Nor,PG,35,43,20.9,43.5,12.9,0.209,17,0.765,95,0.463,110,0.364,0.52,5.1,2.2,5.8,3.6,22.2,0.53,0.07,6.6,2017
1143,Jameer Nelson,Det,PG,35,7,16.5,34.4,19.7,0.214,3,1,25,0.4,14,0.071,0.322,3.7,1.1,3.8,3.3,27.8,0.57,0.14,5.8,2017
1144,Jamel Artis,Orl,SG,25,15,18.6,38.8,14.5,0.087,12,0.583,50,0.46,29,0.276,0.457,5.1,2.5,7.5,1.2,9.3,0.13,0.2,5.3,2017
1145,James Ennis III,Mem,SF,27,45,23.4,48.7,12.5,0.13,73,0.877,138,0.565,84,0.357,0.61,6.9,3.5,8.6,1.1,7,0.71,0.27,5.1,2017
1146,James Ennis III,Det,SF,27,27,20.4,42.5,16,0.09,43,0.767,93,0.57,69,0.304,0.558,7.5,2.5,6.7,0.8,5.9,0.56,0.22,4.8,2017
1147,James Harden,Hou,PG,28,72,35.4,73.8,36,0.151,727,0.858,727,0.531,722,0.367,0.619,30.4,5.4,8.6,8.8,45.1,1.76,0.69,12.8,2017
1148,James Johnson,Mia,PF,30,73,26.6,55.5,19.1,0.172,162,0.698,429,0.587,185,0.308,0.575,10.8,4.9,10.3,3.8,22.5,0.96,0.71,8.8,2017
1149,James Michael McAdoo,Phi,PF,25,3,6,12.5,21.1,0.113,2,1,0,0,7,0.286,0.508,2.7,0.7,6,0,0,0,0.33,0,2017
1150,James Webb III,Bro,SF,24,10,12,25,10.1,0.143,0,0,5,0.4,19,0.211,0.333,1.6,2.4,10.6,0.4,4.5,0.1,0,3.8,2017
1151,James Young,Phi,SG,22,6,10.2,21.2,12.3,0.057,6,0.667,4,0.5,10,0.3,0.511,2.8,0.3,1.8,0.3,4.3,0,0,2.5,2017
1152,Jamil Wilson,Lac,SF,27,15,18.3,38,14.3,0.088,4,0.5,18,0.611,63,0.429,0.634,7,2.1,6.4,0.7,5.2,0.33,0.53,4.8,2017
1153,JaMychal Green,Mem,PF,27,55,28,58.4,17.8,0.124,111,0.721,361,0.499,127,0.339,0.53,10.3,8.4,17.4,1.4,8.3,0.58,0.45,7.1,2017
1154,Jared Dudley,Pho,PF,32,48,14.3,29.8,10.2,0.169,35,0.771,42,0.452,80,0.363,0.553,3.2,1.9,7.2,1.6,15.6,0.52,0.21,6,2017
1155,Jarell Eddie,Bos,SG,26,2,2.8,5.8,8,0,0,0,0,0,1,0,0,0,0.5,9.8,0,0,0.5,0,0,2017
1156,Jarell Eddie,Chi,SG,26,1,3,6.3,14.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017
1157,Jarell Martin,Mem,PF,23,73,22.8,47.4,17.1,0.136,116,0.767,398,0.47,98,0.347,0.516,7.7,4.4,11.1,1,7,0.53,0.68,5.7,2017
1158,Jarrett Allen,Bro,C,19,72,20,41.7,16.3,0.151,147,0.776,382,0.599,15,0.333,0.636,8.2,5.4,14.3,0.7,5.4,0.39,1.22,6.3,2017
1159,Jarrett Jack,Nyk,PG,34,62,25,52,16.7,0.195,75,0.84,357,0.459,86,0.291,0.489,7.5,3.1,6.8,5.6,31.3,0.56,0.06,8.1,2017
1160,Jason Smith,Was,C,31,33,8.6,18,21.7,0.114,21,0.905,83,0.494,32,0.125,0.455,3.4,1.6,10.5,0.4,7.4,0.09,0.39,6,2017
1161,Jason Terry,Mil,SG,40,51,16,33.2,10.1,0.137,9,0.889,39,0.487,115,0.348,0.525,3.3,0.9,3.5,1.2,9.7,0.82,0.24,3.8,2017
1162,JaVale McGee,Gol,C,30,65,9.5,19.7,19.2,0.1,52,0.731,213,0.638,6,0,0.641,4.8,2.6,15.4,0.5,8,0.32,0.88,7.8,2017
1163,Jawun Evans,Lac,PG,21,48,16.2,33.8,17.7,0.138,49,0.776,199,0.372,54,0.278,0.421,4.8,1.8,5.9,2.1,17.8,0.75,0.13,6.5,2017
1164,Jaylen Brown,Bos,SF,21,70,30.7,64,21.4,0.12,233,0.644,497,0.507,306,0.395,0.562,14.5,5,8.8,1.6,8.5,1,0.37,6.4,2017
1165,Jaylen Morris,Atl,G,22,6,16.4,34.2,16.4,0.162,0,0,22,0.5,9,0.222,0.452,4.7,2.7,9.1,1.2,10.7,0.33,0.17,6,2017
1166,Jayson Tatum,Bos,SF,19,80,30.5,63.6,19.4,0.108,258,0.826,593,0.492,242,0.434,0.586,13.9,5,9,1.6,8.3,1.04,0.73,6.3,2017
1167,Jeff Green,Cle,SF,31,78,23.4,48.8,19.3,0.094,234,0.868,448,0.54,170,0.312,0.587,10.8,3.2,7.5,1.3,8,0.53,0.44,6.1,2017
1168,Jeff Teague,Min,PG,29,70,33,68.8,20.6,0.164,239,0.845,566,0.477,228,0.368,0.553,14.2,3,5.2,7,30.6,1.46,0.33,8.1,2017
1169,Jeff Withey,Dal,C,27,9,4.4,9.1,21.8,0.106,2,0.5,6,0.667,10,0.2,0.444,1.7,1.1,14.1,0,0,0,0.33,0,2017
1170,Jerami Grant,Okc,SF,23,81,20.3,42.4,16,0.088,240,0.675,346,0.613,110,0.291,0.607,8.4,3.9,10.7,0.7,5.1,0.38,0.95,5.6,2017
1171,Jeremy Evans,Atl,SF,30,1,5.4,11.3,16.2,0.5,0,0,1,1,0,0,1,2,1,10.3,0,0,0,0,0,2017
1172,Jeremy Lamb,Cha,SG,25,80,24.6,51.2,22.4,0.091,208,0.861,578,0.495,254,0.37,0.559,12.9,4.1,8.9,2.3,15.4,0.76,0.4,8.1,2017
1173,Jeremy Lin,Bro,PG,29,1,25.2,52.5,31.1,0.166,7,1,10,0.4,2,0.5,0.597,18,0,0,4,26.8,0,0,0,2017
1174,Jerian Grant,Chi,PG,25,74,22.8,47.5,17.4,0.132,188,0.745,316,0.468,187,0.326,0.528,8.4,2.3,5.5,4.6,30.1,0.85,0.11,7.8,2017
1175,Jerryd Bayless,Phi,PG,29,39,23.7,49.4,15.1,0.141,44,0.795,116,0.474,146,0.37,0.546,7.9,2.1,4.7,1.4,8,0.59,0.15,4.8,2017
1176,Jimmy Butler,Min,SF,28,59,36.7,76.4,24.9,0.089,425,0.854,721,0.509,200,0.35,0.59,22.2,5.3,8.4,4.9,20.6,1.97,0.41,9.1,2017
1177,JJ Redick,Phi,SG,33,70,30.2,63,21.7,0.096,218,0.904,419,0.504,460,0.42,0.614,17.1,2.6,4.6,3,15.1,0.5,0.09,6.8,2017
1178,Joakim Noah,Nyk,C,32,7,5.7,11.9,17.2,0.254,4,0.5,10,0.5,0,0,0.51,1.7,2,19.4,0.6,13.9,0.29,0.29,8.9,2017
1179,Jodie Meeks,Was,SG,30,77,14.5,30.3,19,0.077,117,0.863,183,0.464,210,0.343,0.548,6.3,1.6,6.4,0.9,9.1,0.38,0.05,5.8,2017
1180,Joe Harris,Bro,SG,26,78,25.3,52.7,16.6,0.12,104,0.827,263,0.589,358,0.419,0.634,10.8,3.3,7,1.6,10.2,0.44,0.26,6.1,2017
1181,Joe Ingles,Uta,SF,30,82,31.4,65.5,15.9,0.174,83,0.795,254,0.516,464,0.44,0.623,11.5,4.2,7.6,4.8,22.9,1.1,0.24,7.8,2017
1182,Joe Johnson,Uta,SF,36,32,21.9,45.6,17.2,0.116,24,0.833,142,0.507,84,0.274,0.492,7.3,3.3,8.7,1.4,9.8,0.38,0.19,5.9,2017
