"alpha","beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","sigma","lp__"
0.0634672499124406,0.227714563802664,0.260190120432163,0.215143732483181,-0.304741916590817,1.53532604297273,0.487664822560044,0.154210903934628,0.150482323076969,-1.15394490149355,-0.0495391150705032,6.24165425271325,-52139.4608474762
0.147047857522504,0.22105388736462,0.258609188630686,0.22510730550947,-0.292311122083061,1.51376580393234,0.494150874401697,0.155388258962967,0.146748678788863,-1.15170659513288,-0.0239409402859696,6.11935993965482,-52142.0505769614
0.0958231137430303,0.217740962398823,0.255616304753481,0.217182174548618,-0.268457726258769,1.52682941762721,0.493757031158078,0.14566338939258,0.165732476797441,-1.16345000387243,-0.0247813833492591,6.19422107256824,-52139.2119227022
0.0930769808683619,0.208707632120915,0.259860710055092,0.191609523250018,-0.274059130350083,1.53833334201783,0.482537182088142,0.177231158860059,0.14640915294953,-1.15754495088276,-0.0731112941303228,6.20281489102702,-52136.9175155425
0.0194449350989287,0.206206574293178,0.268783987431838,0.206964654212728,-0.271985988189136,1.54284037654607,0.479100235350105,0.151297333024569,0.128975914428058,-1.19519692331261,-0.0669136417880859,6.17508050935691,-52144.9099869237
0.206747084131748,0.202978172377647,0.253623216015874,0.202291378384379,-0.261854747843274,1.52739946634571,0.494351445181954,0.171003680509745,0.163015392509387,-1.17357534267497,-0.0421600123448849,6.17815949570701,-52142.4890531193
0.0381816069156688,0.203438759119346,0.26589064251335,0.197095295020489,-0.266032316050655,1.53972857863776,0.50134918763073,0.159494810951574,0.135107128351412,-1.17102470069915,-0.0563529525301208,6.18105364222431,-52140.5567844052
0.097323252022739,0.20603005011007,0.247838526045338,0.19234678364757,-0.271406040328217,1.51726299208892,0.47945616419635,0.18937572493154,0.154726076063957,-1.1534823140538,-0.0595634316456755,6.13864618779999,-52143.1574084955
0.139426771801666,0.225327444809296,0.261495836789326,0.208485163063845,-0.282416047914794,1.53979020691438,0.487286446619098,0.158513766074523,0.166455800670002,-1.15578487863015,-0.0440453492338489,6.19117835805014,-52139.5948524934
0.0907177109170446,0.200799791655845,0.263464959006949,0.204077503263464,-0.273911031128686,1.53066176266955,0.493315975036807,0.151582544083738,0.129739068328788,-1.18216249829103,-0.0538398348383759,6.16922175883458,-52136.5491506296
0.0576640607380883,0.200339194346696,0.257099812489545,0.208178497241283,-0.269005738024137,1.51988012881947,0.489859462418928,0.16386422454386,0.155329364067267,-1.17238081908106,-0.0453032270300462,6.16871784975864,-52136.8770807411
0.061979835997695,0.205257449357489,0.258396278247202,0.19999931319249,-0.268676818859525,1.53416848319081,0.48607134684466,0.168927943442423,0.152551565887329,-1.18830102023889,-0.0552755317594128,6.2079661844132,-52138.7073511869
0.128466415822757,0.192297006055553,0.258215833636865,0.202512464074629,-0.263788134426291,1.52539109552594,0.489802641755343,0.161787877363691,0.143190704371487,-1.18615181803858,-0.0549088107938363,6.16702449899238,-52137.8472002601
0.0550003302086694,0.190536745588932,0.25806433280136,0.201590179681702,-0.247396518436623,1.53210176587461,0.474739325997672,0.159864278946076,0.140927678431161,-1.18460916406975,-0.0276251698615098,6.19109906567055,-52140.3671233654
0.176988246571274,0.218241803607914,0.256326141122576,0.217032459878943,-0.279631755172468,1.52343444633291,0.501948375147181,0.162532491141682,0.140781292556539,-1.15417565602696,-0.042152699138446,6.199926617764,-52140.3262632725
0.066741386896056,0.222414790428285,0.256968428594569,0.219884079678038,-0.278769562513915,1.52287677680638,0.482981755785932,0.129697291129436,0.162629930468672,-1.16252744539063,-0.0438065645760221,6.12411589699191,-52142.0089840087
0.0627720331651542,0.204797380133511,0.2613793175485,0.206113632931317,-0.259914104539145,1.53318132477426,0.49443946073156,0.138967016674293,0.142386520661776,-1.18650000570359,-0.0554619541920737,6.22446428109014,-52138.7686921291
0.0569046989879395,0.222946797537809,0.257729399753489,0.21483564682759,-0.29706417707917,1.53814803638259,0.488243332134751,0.138576810584616,0.142008237927336,-1.16964562167822,-0.0386018546179989,6.15482226032594,-52137.9767242895
0.0582983899876705,0.224797202673846,0.25768284909822,0.212796325966013,-0.29741648513374,1.53808634236203,0.488671041263607,0.143538030140434,0.142501832267664,-1.16997659792052,-0.035770710725497,6.15106148552743,-52138.5620160031
0.0487622620517887,0.229793078905553,0.259153917943364,0.227539655447555,-0.286134194975433,1.53383133703333,0.485641437555863,0.141420062135477,0.159967006374222,-1.16758225499194,-0.0298200855301443,6.1256862304126,-52141.0636501937
0.118414264138766,0.201669578252876,0.258562840988724,0.187442662447307,-0.268753773114243,1.52084382432319,0.496090190890659,0.166152722118263,0.140443988046645,-1.16372573953498,-0.0616363475748121,6.21446778325128,-52138.9520959227
0.11035462140919,0.197945779852661,0.259419986611479,0.191336693099177,-0.277014559329287,1.52171542805553,0.497936006517393,0.166626288067798,0.147237309540141,-1.16447063633709,-0.0636544349671484,6.21947578731304,-52139.5150782161
