"alpha","beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","sigma","lp__"
-0.384763770312855,0.00591807277358791,1.98251286637788,0.65986968425512,0.194549193946286,-1.62464335361464,-1.32883671963585,-0.6380080109782,0.776036090561703,1.76187820151519,-0.149656601655515,1.12349810248018,-8020370.04124253
-0.384763770312855,0.00591807277358791,1.98251286637788,0.65986968425512,0.194549193946286,-1.62464335361464,-1.32883671963585,-0.6380080109782,0.776036090561703,1.76187820151519,-0.149656601655515,1.12349810248018,-8020370.04124253
-0.384763770312855,0.00591807277358791,1.98251286637788,0.65986968425512,0.194549193946286,-1.62464335361464,-1.32883671963585,-0.6380080109782,0.776036090561703,1.76187820151519,-0.149656601655515,1.12349810248018,-8020370.04124253
-0.384763770312855,0.00591807277358791,1.98251286637788,0.65986968425512,0.194549193946286,-1.62464335361464,-1.32883671963585,-0.6380080109782,0.776036090561703,1.76187820151519,-0.149656601655515,1.12349810248018,-8020370.04124253
-0.384763770312855,0.00591807277358791,1.98251286637788,0.65986968425512,0.194549193946286,-1.62464335361464,-1.32883671963585,-0.6380080109782,0.776036090561703,1.76187820151519,-0.149656601655515,1.12349810248018,-8020370.04124253
-1.79204161004889,0.803659037274624,-0.459114955497853,-0.66817828522219,-1.57267494651025,1.51274352618304,-1.37763476859619,1.95526662103503,-1.78668893019447,-0.301442322285864,1.80424122473446,1.66671417249129,-1858177.90465246
-1.79204161004889,0.803659037274624,-0.459114955497853,-0.66817828522219,-1.57267494651025,1.51274352618304,-1.37763476859619,1.95526662103503,-1.78668893019447,-0.301442322285864,1.80424122473446,1.66671417249129,-1858177.90465246
-1.79204161004889,0.803659037274624,-0.459114955497853,-0.66817828522219,-1.57267494651025,1.51274352618304,-1.37763476859619,1.95526662103503,-1.78668893019447,-0.301442322285864,1.80424122473446,1.66671417249129,-1858177.90465246
-1.79204161004889,0.803659037274624,-0.459114955497853,-0.66817828522219,-1.57267494651025,1.51274352618304,-1.37763476859619,1.95526662103503,-1.78668893019447,-0.301442322285864,1.80424122473446,1.66671417249129,-1858177.90465246
-1.79204161004889,0.803659037274624,-0.459114955497853,-0.66817828522219,-1.57267494651025,1.51274352618304,-1.37763476859619,1.95526662103503,-1.78668893019447,-0.301442322285864,1.80424122473446,1.66671417249129,-1858177.90465246
-1.16315054522406,-1.73015832751692,1.81246559874715,0.674512865956922,0.833644118017235,0.0404074748396144,1.45373651060338,0.179008342043831,1.52456092048075,-1.19309701891911,0.545479177921642,4.44747286188682,-128537.739835844
-1.16315054522406,-1.73015832751692,1.81246559874715,0.674512865956922,0.833644118017235,0.0404074748396144,1.45373651060338,0.179008342043831,1.52456092048075,-1.19309701891911,0.545479177921642,4.44747286188682,-128537.739835844
-1.16315054522406,-1.73015832751692,1.81246559874715,0.674512865956922,0.833644118017235,0.0404074748396144,1.45373651060338,0.179008342043831,1.52456092048075,-1.19309701891911,0.545479177921642,4.44747286188682,-128537.739835844
-1.16315054522406,-1.73015832751692,1.81246559874715,0.674512865956922,0.833644118017235,0.0404074748396144,1.45373651060338,0.179008342043831,1.52456092048075,-1.19309701891911,0.545479177921642,4.44747286188682,-128537.739835844
-1.16315054522406,-1.73015832751692,1.81246559874715,0.674512865956922,0.833644118017235,0.0404074748396144,1.45373651060338,0.179008342043831,1.52456092048075,-1.19309701891911,0.545479177921642,4.44747286188682,-128537.739835844
0.723927251183309,-1.68246865491024,1.84522252655082,-0.68125193127788,-0.877252837384001,-0.248675253887694,-0.845903955748184,-1.42680667839263,0.702245639820176,-1.32929739464055,-1.8691824044798,0.341424714539094,-45096293.6290251
0.723927251183309,-1.68246865491024,1.84522252655082,-0.68125193127788,-0.877252837384001,-0.248675253887694,-0.845903955748184,-1.42680667839263,0.702245639820176,-1.32929739464055,-1.8691824044798,0.341424714539094,-45096293.6290251
0.723927251183309,-1.68246865491024,1.84522252655082,-0.68125193127788,-0.877252837384001,-0.248675253887694,-0.845903955748184,-1.42680667839263,0.702245639820176,-1.32929739464055,-1.8691824044798,0.341424714539094,-45096293.6290251
0.723927251183309,-1.68246865491024,1.84522252655082,-0.68125193127788,-0.877252837384001,-0.248675253887694,-0.845903955748184,-1.42680667839263,0.702245639820176,-1.32929739464055,-1.8691824044798,0.341424714539094,-45096293.6290251
0.723927251183309,-1.68246865491024,1.84522252655082,-0.68125193127788,-0.877252837384001,-0.248675253887694,-0.845903955748184,-1.42680667839263,0.702245639820176,-1.32929739464055,-1.8691824044798,0.341424714539094,-45096293.6290251
